time/fps,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/success_rate,train/actor_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
116,8696,940,0.001,0.0016266995309186833,74,1.0,0.13066373951733112,8626,-0.38932451000000007,4.03
116,8729,950,0.001,0.0012599769979715347,75,1.0,0.1365484744310379,8662,-0.39167173999999993,4.03
116,8763,960,0.001,0.0017586094715322058,75,1.0,0.1769435852766037,8696,-0.39034573999999994,4.01
116,8807,970,0.001,0.0010220961994491518,75,1.0,0.10196924209594727,8740,-0.39833768999999997,4.02
116,8839,980,0.001,0.0011918485397472978,76,1.0,0.21267801523208618,8773,-0.38489683999999996,3.92
116,8867,990,0.001,0.0014838717761449516,76,1.0,0.168390154838562,8800,-0.37955037999999997,3.86
116,8899,1000,0.001,0.0009947706712409854,76,1.0,0.11234921713670094,8832,-0.35696068,3.72
115,8938,1010,0.001,0.001082851376850158,77,1.0,0.14880791679024696,8870,-0.36843773000000013,3.79
115,8962,1020,0.001,0.0017069862806238234,77,1.0,0.1172933429479599,8896,-0.33182302999999996,3.49
115,9002,1030,0.001,0.0009099924678189887,77,1.0,0.11792388707399368,8932,-0.33322728999999995,3.51
115,9030,1040,0.001,0.0013782809837721288,77,1.0,0.12119390070438385,8964,-0.31101026,3.34
115,9066,1050,0.001,0.0007569398730993271,78,1.0,0.15217871963977814,8999,-0.31205119,3.37
115,9107,1060,0.001,0.0009728453199689587,78,1.0,0.12134334444999695,9035,-0.31669337999999997,3.44
115,9139,1070,0.001,0.0020279136952012777,79,1.0,0.17207466065883636,9072,-0.29726165000000004,3.32
115,9181,1080,0.001,0.0012081945703054469,79,1.0,0.11201235900322597,9108,-0.30921542999999996,3.42
115,9223,1090,0.001,0.0016165928915143012,79,1.0,0.13481703400611877,9157,-0.32283228,3.56
115,9260,1100,0.001,0.0015108344377949834,80,1.0,0.1577131152153015,9193,-0.32448404000000003,3.61
115,9304,1110,0.001,0.0017921555166443188,80,1.0,0.16220949590206146,9234,-0.33171918999999994,3.66
115,9344,1120,0.001,0.0009441742828736702,80,1.0,0.14122829213738441,9274,-0.35148063999999996,3.82
115,9379,1130,0.001,0.0011969952611252666,81,1.0,0.15938011184334755,9312,-0.34639472999999993,3.77
115,9415,1140,0.001,0.0009240132058039308,81,1.0,0.10989466682076454,9349,-0.35371970999999996,3.85
115,9445,1150,0.001,0.001174842705950141,81,1.0,0.08862224966287613,9376,-0.3532324799999999,3.79
115,9483,1160,0.001,0.000847374515918394,82,1.0,0.10023211315274239,9414,-0.35026076000000006,3.76
115,9523,1170,0.001,0.0010100235231220722,82,1.0,0.15027929842472076,9457,-0.35863252,3.84
115,9559,1180,0.001,0.001054104184731841,83,1.0,0.12016508728265762,9488,-0.35456349,3.78
114,9598,1190,0.001,0.0014246538048610091,83,1.0,0.11415379494428635,9532,-0.3559612200000001,3.75
114,9634,1200,0.001,0.0007389325182884932,84,1.0,0.12712959945201874,9566,-0.36217538000000005,3.74
114,9671,1210,0.001,0.001111601556961735,84,1.0,0.13470131158828735,9599,-0.35246661,3.67
114,9701,1220,0.001,0.0019565086113289,84,1.0,0.12181481719017029,9632,-0.3384736700000001,3.57
114,9733,1230,0.001,0.0012999697355553508,85,1.0,0.11109142750501633,9667,-0.33354860000000003,3.54
114,9767,1240,0.001,0.0015234319726005197,85,1.0,0.21066027879714966,9701,-0.33137901,3.52
114,9808,1250,0.001,0.0010237732421956025,85,1.0,0.14280781336128712,9741,-0.3430715500000001,3.63
114,9848,1260,0.001,0.0010974890901707113,86,1.0,0.16168726980686188,9781,-0.34847482,3.65
114,9889,1270,0.001,0.0013939617783762515,86,1.0,0.1550070345401764,9819,-0.34993467999999994,3.66
114,9922,1280,0.001,0.0010798483272083104,86,1.0,0.19359052181243896,9856,-0.34512865,3.63
114,9955,1290,0.001,0.0007250080234371126,87,1.0,0.09509540349245071,9887,-0.33353128,3.57
114,9990,1300,0.001,0.001122334656039519,87,1.0,0.13640325516462326,9924,-0.32924814,3.56
114,10021,1310,0.001,0.0014187223860062659,87,1.0,0.13662531599402428,9954,-0.31971606999999996,3.5
113,10058,1320,0.001,0.0011585277776854734,88,1.0,0.13500969608624777,9991,-0.33058801000000004,3.57
113,10097,1330,0.001,0.0009060780090900759,88,1.0,0.11432136098543803,10029,-0.33874829000000006,3.64
113,10131,1340,0.001,0.0012538246519397944,88,1.0,0.175874263048172,10066,-0.34150336000000003,3.64
113,10161,1350,0.001,0.001124323986005038,89,1.0,0.18595682084560394,10095,-0.32581562999999997,3.53
113,10199,1360,0.001,0.0016105015030396836,89,1.0,0.15115304042895636,10133,-0.32234619,3.51
113,10235,1370,0.001,0.001304201316088438,89,1.0,0.07726356387138367,10168,-0.31751314,3.46
113,10270,1380,0.001,0.0006569682154804468,90,1.0,0.13250425457954407,10202,-0.32039588,3.48
113,10299,1390,0.001,0.001495163037907332,90,1.0,0.09227294226487477,10232,-0.31745283,3.44
113,10340,1400,0.001,0.0024395984364673495,90,1.0,0.14114566892385483,10270,-0.32777028999999996,3.5
113,10378,1410,0.001,0.001066135698541378,91,1.0,0.14210397750139236,10311,-0.33905751999999995,3.57
113,10417,1420,0.001,0.0010068702007022996,91,1.0,0.1096288412809372,10350,-0.3432150200000001,3.59
113,10449,1430,0.001,0.0011628710199147463,91,1.0,0.11399917552868526,10382,-0.33594243,3.52
113,10498,1440,0.001,0.000758380675688386,92,1.0,0.13159096240997314,10428,-0.35570768999999997,3.67
113,10544,1450,0.001,0.0009336629227618687,92,1.0,0.12898971140384674,10472,-0.37832812000000005,3.83
113,10576,1460,0.001,0.0016205277061089873,93,1.0,0.13710707426071167,10506,-0.37241332,3.77
113,10614,1470,0.001,0.0014154080251630927,93,1.0,0.13750052452087402,10543,-0.3743832,3.79
113,10652,1480,0.001,0.000982429104624316,93,1.0,0.14605727791786194,10581,-0.37694940000000005,3.82
113,10693,1490,0.001,0.001146395244480421,94,1.0,0.12478692084550858,10623,-0.39123447999999994,3.94
113,10738,1500,0.001,0.00061194141744636,94,1.0,0.12693483382463455,10667,-0.39559724,3.98
113,10771,1510,0.001,0.0008738076818796495,95,1.0,0.10725628584623337,10704,-0.3898892199999999,3.93
113,10803,1520,0.001,0.0013986302074044943,95,1.0,0.11137374490499496,10736,-0.37828609,3.86
113,10833,1530,0.001,0.0007789792725816369,95,1.0,0.13200463354587555,10766,-0.3758108200000001,3.84
113,10877,1540,0.001,0.000806454211539988,96,1.0,0.1365410735209783,10811,-0.37179791,3.79
113,10908,1550,0.001,0.0010999822601055105,96,1.0,0.1279505379498005,10842,-0.35284102000000006,3.64
113,10944,1560,0.001,0.000853029836434871,96,1.0,0.12488140165805817,10878,-0.35615435999999995,3.68
113,10977,1570,0.001,0.0008339382766280323,97,1.0,0.14909549802541733,10910,-0.3452384,3.63
113,11002,1580,0.001,0.00111182383261621,97,1.0,0.14743799716234207,10935,-0.33096029,3.5
112,11028,1590,0.001,0.0009647978974195818,97,1.0,0.16452860832214355,10962,-0.31043602000000003,3.35
112,11064,1600,0.001,0.0005659399321302772,97,1.0,0.10781747847795486,10998,-0.29940823,3.26
112,11109,1610,0.001,0.0012393378783599474,98,1.0,0.12000304646790028,11042,-0.31722701999999997,3.38
112,11144,1620,0.001,0.000917030090931803,98,1.0,0.1260841190814972,11077,-0.32262978000000003,3.41
112,11184,1630,0.001,0.001195610995637253,99,1.0,0.1727888137102127,11114,-0.3383592899999999,3.51
112,11218,1640,0.001,0.002896162972319871,99,1.0,0.18793922662734985,11147,-0.32286660999999994,3.41
112,11250,1650,0.001,0.0006573291417832176,99,1.0,0.10476799681782722,11180,-0.32188313,3.42
112,11286,1660,0.001,0.0008847991121001542,100,1.0,0.11766990646719933,11219,-0.320946,3.42
112,11317,1670,0.001,0.0010011652096485097,100,1.0,0.13647031784057617,11247,-0.32014131,3.4
112,11347,1680,0.001,0.0007736925035715103,100,1.0,0.15050962567329407,11280,-0.32378841,3.45
112,11373,1690,0.001,0.0012767957523465157,100,1.0,0.15582066774368286,11306,-0.32643935999999996,3.45
112,11405,1700,0.001,0.000731179645905892,101,1.0,0.08258292078971863,11339,-0.31879202,3.41
112,11445,1710,0.001,0.0009588562728216251,101,1.0,0.12993205338716507,11378,-0.30953499,3.36
112,11480,1720,0.001,0.0016119344072649255,101,1.0,0.12157509848475456,11412,-0.30576055,3.36
112,11522,1730,0.001,0.0008308797259815037,102,1.0,0.12342599034309387,11453,-0.30890442999999995,3.38
112,11548,1740,0.001,0.0009721791138872504,102,1.0,0.1305897980928421,11482,-0.30020368999999997,3.3
112,11589,1750,0.001,0.0009988194215111434,103,1.0,0.14753608405590057,11522,-0.3130121,3.39
112,11619,1760,0.001,0.0008278941153548658,103,1.0,0.10705438256263733,11552,-0.30737021999999997,3.33
112,11650,1770,0.001,0.000577204511500895,103,1.0,0.12663543224334717,11583,-0.31210036,3.33
111,11674,1780,0.001,0.0007818954327376559,104,1.0,0.07410948723554611,11608,-0.30341656000000006,3.27
